photoid,school,hispanic,female1,female2,female3,female4,grades1,grades2,grades3,grades4,eversmk1,eversmk2,eversmk3,eversmk4,everdrk1,everdrk2,everdrk3,everdrk4,home1,home2,home3,home4,sch_friend11,sch_friend12,sch_friend13,sch_friend14,sch_friend15,sch_friend16,sch_friend17,sch_friend18,sch_friend19,sch_friend110,sch_friend111,sch_friend112,sch_friend113,sch_friend114,sch_friend115,sch_friend116,sch_friend117,sch_friend118,sch_friend119,sch_friend21,sch_friend22,sch_friend23,sch_friend24,sch_friend25,sch_friend26,sch_friend27,sch_friend28,sch_friend29,sch_friend210,sch_friend211,sch_friend212,sch_friend213,sch_friend214,sch_friend215,sch_friend216,sch_friend217,sch_friend218,sch_friend219,sch_friend31,sch_friend32,sch_friend33,sch_friend34,sch_friend35,sch_friend36,sch_friend37,sch_friend38,sch_friend39,sch_friend310,sch_friend311,sch_friend312,sch_friend313,sch_friend314,sch_friend315,sch_friend316,sch_friend317,sch_friend318,sch_friend319,sch_friend41,sch_friend42,sch_friend43,sch_friend44,sch_friend45,sch_friend46,sch_friend47,sch_friend48,sch_friend49,sch_friend410,sch_friend411,sch_friend412,sch_friend413,sch_friend414,sch_friend415,sch_friend416,sch_friend417,sch_friend418,sch_friend419
68,111,1,1,1,1,NA,4.5,4.5,5,NA,0,0,0,0,1,1,1,1,2,2,2,NA,366,332,599,588,625,535,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588,625,306,123,470,609,463,233,366,14,41,48,574,582,186,184,172,156,4,4,14,172,NA,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,111,1,1,1,1,NA,4.5,4.5,4.5,NA,0,0,0,0,0,0,0,0,1,1,1,NA,385,311,271,312,287,190,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,405,187,287,271,190,621,586,520,514,414,311,312,NA,NA,NA,NA,NA,NA,385,NA,190,514,405,NA,517,NA,122,148,NA,231,271,144,NA,313,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,111,1,0,0,NA,NA,2.5,1.5,NA,NA,0,0,0,0,NA,NA,NA,NA,2,2,NA,NA,227,49,410,138,199,162,612,594,2,107,189,423,341,447,448,429,32,248,313,612,45,341,227,429,357,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,111,1,1,NA,NA,NA,1.5,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,158,434,61,NA,NA,NA,NA,158,434,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,111,1,0,0,0,NA,2.5,3,3.5,NA,0,0,0,0,NA,NA,NA,NA,1,2,2,NA,289,26,313,423,238,368,424,10,116,58,138,NA,NA,NA,NA,NA,NA,NA,NA,289,476,423,404,238,536,316,284,339,368,352,396,434,456,502,547,557,88,138,536,NA,NA,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,111,0,0,0,NA,NA,5,5,NA,NA,0,0,0,0,0,0,0,0,1,1,NA,NA,581,549,410,225,506,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,410,549,NA,NA,NA,NA,215,410,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,111,1,0,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,2,NA,NA,NA,42,51,220,240,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,111,1,0,0,NA,NA,3,2.5,NA,NA,1,1,1,1,0,0,0,0,1,1,NA,NA,52,512,117,175,509,517,616,87,75,119,127,189,190,237,259,261,275,284,309,28,52,298,339,341,NA,502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,111,0,0,NA,NA,NA,1.5,NA,NA,NA,0,0,0,0,0,0,0,0,2,2,NA,NA,529,186,184,134,170,321,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529,184,588,NA,NA,NA,NA,529,184,588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,111,NA,1,1,NA,NA,5,5,NA,NA,0,0,0,0,1,1,1,1,1,1,NA,NA,508,571,585,176,140,201,48,43,84,126,213,209,538,595,271,306,156,178,179,508,585,571,474,150,NA,NA,109,25,NA,169,126,224,215,262,382,176,557,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
