photoid,school,hispanic,female1,female2,female3,female4,grades1,grades2,grades3,grades4,eversmk1,eversmk2,eversmk3,eversmk4,everdrk1,everdrk2,everdrk3,everdrk4,home1,home2,home3,home4,sch_friend11,sch_friend12,sch_friend13,sch_friend14,sch_friend15,sch_friend16,sch_friend17,sch_friend18,sch_friend19,sch_friend110,sch_friend111,sch_friend112,sch_friend113,sch_friend114,sch_friend115,sch_friend116,sch_friend117,sch_friend118,sch_friend119,sch_friend21,sch_friend22,sch_friend23,sch_friend24,sch_friend25,sch_friend26,sch_friend27,sch_friend28,sch_friend29,sch_friend210,sch_friend211,sch_friend212,sch_friend213,sch_friend214,sch_friend215,sch_friend216,sch_friend217,sch_friend218,sch_friend219,sch_friend31,sch_friend32,sch_friend33,sch_friend34,sch_friend35,sch_friend36,sch_friend37,sch_friend38,sch_friend39,sch_friend310,sch_friend311,sch_friend312,sch_friend313,sch_friend314,sch_friend315,sch_friend316,sch_friend317,sch_friend318,sch_friend319,sch_friend41,sch_friend42,sch_friend43,sch_friend44,sch_friend45,sch_friend46,sch_friend47,sch_friend48,sch_friend49,sch_friend410,sch_friend411,sch_friend412,sch_friend413,sch_friend414,sch_friend415,sch_friend416,sch_friend417,sch_friend418,sch_friend419
1,111,1,NA,NA,0,0,NA,NA,3.5,3.5,NA,0,0,0,1,0,0,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,442,279,188,198,346,NA,241,420,441,483,375,NA,NA,NA,NA,NA,NA,NA,347,420,442,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,111,1,0,NA,NA,0,3,NA,NA,2,0,0,0,0,1,1,1,1,2,NA,NA,2,424,423,426,289,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424,205,536,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,111,0,1,1,1,1,5,4.5,4,4.5,0,0,0,0,0,0,0,0,2,2,2,2,629,505,NA,NA,NA,NA,NA,146,145,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,629,505,575,NA,NA,NA,NA,629,575,505,145,371,567,368,NA,NA,NA,NA,NA,NA,629,505,NA,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,111,1,1,1,1,1,2.5,2.5,2.5,1.5,0,0,0,0,NA,NA,NA,NA,2,2,2,2,232,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608,387,NA,NA,NA,NA,NA,522,606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608,387,93,119,627,610,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,111,1,1,1,1,NA,3,3.5,3.5,3.5,0,0,0,0,0,0,0,0,2,2,2,NA,582,134,41,592,68,554,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,557,41,68,NA,582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,118,68,233,NA,NA,NA,10,NA,605,452,470,446,582,557,NA,494,167,148,NA,NA,599,NA,134,NA,377,41,233,494,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,111,1,0,0,0,0,2.5,2.5,1.5,3.5,1,1,1,1,1,1,1,1,1,1,1,1,26,488,81,138,2,339,502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502,225,549,81,26,49,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,452,NA,199,NA,549,319,506,49,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,NA,313,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,111,1,1,1,1,1,2.5,2.5,1.5,2.5,0,0,0,0,0,0,0,0,1,1,1,1,528,NA,492,395,NA,NA,NA,30,385,378,373,337,386,433,391,564,NA,NA,NA,492,528,541,190,192,310,334,246,22,46,27,49,97,273,337,NA,372,366,357,363,79,NA,NA,NA,NA,NA,49,53,130,148,192,NA,246,278,311,322,297,443,79,214,440,NA,NA,NA,NA,188,278,NA,NA,NA,NA,544,109,110,NA,NA,NA
22,111,1,NA,NA,0,0,NA,NA,3.5,4.5,NA,0,0,0,1,0,0,0,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,258,259,167,373,71,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,258,71,143,427,470,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,111,0,1,1,NA,1,4.5,3.5,NA,4.5,0,0,0,0,0,0,0,0,1,1,NA,1,135,185,553,84,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,185,NA,305,553,213,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,111,1,0,NA,0,0,3.5,NA,3.5,3.5,0,0,0,0,0,0,0,0,1,NA,1,1,346,168,559,5,411,283,NA,1,20,44,64,119,67,115,166,NA,NA,NA,NA,346,168,NA,411,279,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,297,411,NA,346,NA,NA,NA,461,462,484,487,512,619,39,14,30,35,52,95,166,248,330,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,111,1,1,NA,1,NA,4.5,NA,4,4,0,0,0,0,0,0,0,0,1,NA,1,NA,369,452,167,NA,NA,NA,NA,190,188,366,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,127,517,NA,625,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,111,1,1,NA,1,1,3,NA,3.5,3.5,0,0,0,0,0,0,0,0,1,1,1,3,462,557,593,463,80,399,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,118,28,46,483,519,440,399,118,28,46,483,567,440,NA,80,100,149,503,334,297,399,411,NA,NA,NA,28,NA,118,149,275,279,NA,291,334,395,411,NA,28,149,229,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,111,1,NA,NA,1,1,NA,NA,3.5,4.5,NA,0,0,0,1,0,0,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,484,211,399,NA,NA,NA,248,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,111,1,1,1,1,1,2.5,3.5,2.5,3.5,1,1,1,1,1,1,1,1,2,2,2,1,34,151,151,177,191,292,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491,130,NA,NA,NA,NA,NA,491,130,355,64,NA,NA,NA,NA,NA,NA,NA,NA,229,334,254,540,512,NA,NA,149,151,130,21,NA,NA,NA,NA,NA,NA,NA,NA,512,130,254,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,111,1,NA,NA,0,NA,NA,NA,4,NA,NA,0,0,0,1,0,0,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,111,1,1,NA,1,1,3.5,NA,4,4,0,0,0,0,0,0,0,0,2,NA,2,2,390,259,167,417,605,452,71,28,615,371,258,NA,NA,NA,NA,NA,NA,NA,NA,258,259,167,605,71,417,93,34,112,16,187,286,177,312,313,291,258,446,402,405,93,258,259,NA,167,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,111,1,0,0,0,0,4.5,4.5,4.5,4.5,1,1,1,1,NA,NA,NA,NA,1,1,1,1,557,320,14,73,68,409,194,371,127,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,557,14,148,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557,14,NA,60,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557,60,194,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,111,1,0,NA,0,NA,3,NA,3,3,0,0,0,0,0,0,0,0,2,NA,2,NA,27,154,314,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,212,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,214,425,444,32,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,111,0,0,0,NA,NA,4,4.5,NA,4,0,0,0,0,0,0,0,0,2,3,NA,NA,30,245,250,298,330,326,629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,599,30,245,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,330,219,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,111,0,NA,NA,NA,0,NA,NA,NA,4.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,438,NA,383,377,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,111,1,0,NA,0,0,3,NA,3.5,3.5,0,0,0,0,0,0,0,0,1,1,1,1,86,206,67,459,419,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419,351,97,67,206,86,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,419,67,86,349,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA,NA,67,97,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,111,1,1,1,1,1,3.5,3.5,3.5,2.5,0,0,0,0,1,1,1,1,2,2,2,2,579,570,521,312,264,28,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,36,127,127,181,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570,579,312,521,NA,NA,NA,44,189,190,195,227,NA,284,312,521,531,546,570,312,NA,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,111,NA,NA,NA,NA,1,NA,NA,NA,4.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,111,0,1,1,NA,1,4.5,5,5,5,0,0,0,0,0,0,0,0,2,2,2,2,263,590,269,567,398,629,505,622,7,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,505,622,398,563,269,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590,505,NA,NA,398,629,NA,7,NA,624,567,NA,NA,NA,NA,NA,NA,NA,NA,505,NA,NA,NA,NA,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,111,1,NA,NA,1,1,NA,NA,3,2.5,NA,0,0,0,1,0,0,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,127,41,557,116,NA,NA,154,292,447,448,502,521,NA,615,320,NA,NA,NA,291,NA,41,557,NA,NA,NA,167,NA,NA,NA,259,NA,NA,NA,NA,NA,NA,NA
69,111,1,1,1,1,1,NA,3.5,3.5,4,0,0,0,0,0,0,0,0,2,2,2,1,544,149,560,144,119,273,603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560,428,544,149,386,21,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428,560,544,149,386,NA,144,35,64,NA,NA,484,NA,NA,NA,NA,NA,NA,NA,NA,560,386,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,111,1,NA,NA,NA,1,NA,NA,NA,4.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,237,250,370,460,522,606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,111,1,1,NA,1,1,4.5,NA,4.5,4.5,0,0,0,0,1,1,1,1,1,NA,1,1,167,373,605,452,259,29,312,456,28,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,605,452,259,73,373,NA,40,8,116,168,177,312,372,445,NA,NA,NA,NA,167,605,168,441,22,259,NA,93,116,258,290,373,417,446,190,179,NA,NA,NA,40,167,441,424,22,37,NA,NA,107,317,NA,93,258,271,NA,124,446,445,NA
72,111,1,1,1,1,1,4.5,3.5,4,4,1,1,1,1,NA,NA,NA,NA,2,2,2,2,289,368,490,410,122,81,136,511,601,566,522,518,506,579,463,456,447,396,291,289,368,136,396,190,NA,NA,405,117,490,579,NA,NA,NA,NA,NA,NA,NA,NA,289,NA,117,339,172,NA,NA,NA,151,284,429,456,NA,181,15,NA,NA,NA,NA,289,352,117,NA,NA,NA,NA,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,111,1,1,1,NA,NA,3.5,4.5,NA,4,0,0,0,0,1,1,1,1,1,1,NA,NA,14,116,314,413,396,453,550,49,121,122,137,129,190,209,195,313,261,368,72,579,570,561,621,550,10,NA,14,72,71,116,122,136,171,126,212,190,312,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,547,562,NA,488,404,NA,312,452,546,NA,284,456,NA,NA,410,494,531,NA
75,111,1,1,1,NA,NA,1.5,3,NA,5,1,1,1,1,1,1,1,1,3,2,NA,NA,352,122,587,51,308,125,NA,352,122,587,51,308,125,NA,NA,NA,NA,NA,NA,352,51,122,42,NA,NA,NA,352,51,122,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404,314,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,111,0,NA,NA,0,0,NA,NA,5,3.5,0,0,0,0,0,0,0,0,NA,NA,1,1,4,333,48,176,65,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504,475,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,111,0,1,1,NA,1,5,4.5,NA,4.5,0,0,0,0,0,0,0,0,2,2,NA,2,305,553,109,365,NA,NA,NA,143,598,383,269,539,323,281,216,NA,NA,NA,NA,305,365,109,325,NA,NA,NA,588,600,598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,111,0,NA,NA,NA,0,NA,NA,NA,5,NA,NA,0,0,1,1,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,383,438,598,NA,180,262,377,96,234,409,486,109,245,388,406
86,111,1,0,0,0,0,1,1.5,2.5,2.5,0,0,0,0,0,0,0,0,2,2,2,2,206,43,331,5,275,341,594,24,44,49,64,197,273,67,95,110,97,177,261,177,525,115,5,97,67,206,43,50,64,176,277,261,328,341,409,436,501,597,NA,565,594,43,95,206,179,27,50,67,NA,196,201,203,NA,275,110,487,362,362,261,275,NA,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,111,NA,1,1,1,1,4,4.5,4.5,4.5,0,0,0,0,0,0,0,0,1,1,1,1,40,119,177,202,433,436,627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,119,115,116,171,627,NA,34,60,53,122,115,179,177,182,317,NA,NA,NA,119,610,470,445,250,NA,NA,71,NA,179,182,201,464,436,460,582,NA,NA,NA,627,119,177,127,NA,71,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,111,1,0,0,0,0,3.5,3.5,4.5,4.5,0,0,0,0,0,0,0,0,3,1,1,1,483,484,241,196,27,324,342,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484,324,576,241,174,347,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484,576,324,NA,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576,241,NA,NA,NA,347,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,111,0,0,0,0,0,4,4,3.5,3.5,0,0,0,0,0,0,0,0,2,2,2,1,43,196,110,150,463,213,179,4,137,140,248,410,424,599,NA,NA,NA,NA,NA,150,196,179,345,110,248,213,463,140,181,NA,537,599,NA,NA,NA,NA,NA,NA,NA,594,86,213,179,475,345,207,110,181,14,565,402,NA,443,461,328,248,43,150,213,594,475,179,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,111,0,0,0,NA,0,5,5,NA,4.5,0,0,0,0,0,0,0,0,1,1,NA,1,65,219,306,529,450,592,621,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,529,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,111,1,0,NA,NA,NA,2.5,2.5,NA,NA,1,1,1,1,1,1,1,1,2,2,NA,NA,67,330,331,459,501,559,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,611,556,501,411,513,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,203,5,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,111,1,NA,NA,0,0,NA,NA,3.5,3.5,NA,0,0,0,1,0,0,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,468,488,511,13,203,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,111,1,0,0,0,0,3.5,3,2.5,3.5,1,1,1,1,NA,NA,NA,NA,2,2,2,2,454,479,NA,NA,NA,NA,NA,454,18,267,479,318,NA,NA,NA,NA,NA,NA,NA,18,161,513,NA,NA,NA,NA,18,161,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,346,442,NA,NA,NA,NA,NA,519,461,115,NA,NA,NA,NA,NA,NA,NA,NA,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,111,1,NA,NA,NA,1,NA,NA,NA,3,0,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413,445,447,466,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,111,1,1,1,1,1,5,3.5,3.5,3,0,0,0,0,1,1,1,1,1,1,1,1,258,120,373,463,449,514,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463,489,557,331,NA,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,73,NA,196,276,NA,NA,NA,NA,276,120,73,NA,196,554,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,111,1,NA,NA,NA,0,NA,NA,NA,2.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557,362,NA,341,261,275,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,111,0,0,NA,NA,0,5,NA,NA,4.5,0,0,0,0,0,0,0,0,2,NA,NA,2,330,325,245,592,365,84,281,383,178,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,84,371,330,245,592,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,224,515,365,245,598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,111,1,1,1,NA,1,4.5,NA,NA,4.5,0,0,0,0,1,1,1,1,2,2,NA,2,172,144,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,619,144,601,NA,NA,NA,116,194,195,316,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,601,NA,NA,NA,NA,NA,NA,586,NA,NA,154,28,NA,NA,NA,NA,NA,NA
115,111,1,0,0,0,0,2.5,2.5,2.5,3.5,1,1,1,1,NA,NA,NA,NA,2,2,2,2,39,64,90,110,197,227,552,27,111,119,116,168,127,314,337,366,519,525,557,64,519,168,27,5,NA,277,39,512,525,559,518,NA,119,NA,NA,NA,NA,NA,519,279,27,NA,NA,NA,NA,NA,50,182,NA,411,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,111,1,1,NA,NA,1,3.5,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,3,NA,NA,2,147,154,171,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,111,1,1,1,1,1,4,4.5,3.5,3.5,1,1,1,1,0,0,0,0,1,1,1,1,491,620,136,316,479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,316,136,435,527,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,289,172,316,NA,NA,151,NA,NA,352,NA,NA,313,429,602,NA,NA,NA,NA,72,151,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,111,1,1,NA,1,1,4.5,NA,4.5,3,0,0,0,0,1,0,0,0,2,NA,1,1,562,615,520,190,452,605,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615,190,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,106,339,190,517,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,NA,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
